Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,Zymase and Glucose combine to form what drug,Alcohol,General,What is the literal meaning of 'pince-nez',Pinch nose,General,Who was the female lead in 'hello dolly',Barbara streisand
General,Which international companies logo is exactly 42 dots,Sony,General,In what film did rick moranis make his big-screen debut,Strange brew,General,"How often does something recur, that recurs ""quotidian""",Daily
General,Psychologist say when a woman wears red she wants what,Another Woman,Art & Literature,"The two races in HG Well's ""The Time Machine"" are the child-like Eloi and the subterannean ______?",Morlocks,Music,Who composed the music for the German national anthem?,Joseph Haydn
General,"A social dance in ¾ time that became widely popular in the nineteenth century. It developed from the Landler, a German-Austrian turning dance.",Waltz,General,"Which us city is called the ""windy city""",Chicago,General,Marinated limbs of fowl,Chicken wings
General,In 1891 what city held the first weightlifting world championship,London,General,What does a month beginning with a Sunday always have?,Friday the 13th,Sports & Leisure,In 1994 Oliver McCall Defeated Who To Become World Heavyweight Boxing Champion ,Lennox Lewis 
Religion & Mythology,Who is the greek equivalent of the roman god Mercury,Hermes,General,Only three grape varieties can be used to make champagne. Pinot Noir and Pinot Meunier are two. Name the third,Chardonnay,General,In Greek mythology who killed the Gorgon,Perseus
General,Dacca is the capital of which country,Bangladesh,Music,Which Guitarist Replaced Bernie Leadon In The Eagles In 1975,Joe Walsh,General,Who created the myrmidons,Zeus
Science & Nature,What device was used to determine a ship's latitude ?,Sextant,General,In Mork and Mindy what was the capitol of Ork,Kork,General,In what WW1 battle were tanks first used in 1916,Somme
Sports & Leisure,Who was the 1978 Wimbledon Women's Singles champ?,Martina Navratilova,Geography,What Is The Name Of The Highest Mountain In Japan ,Mount Fujiyama Or Mount Fuji ,General,What is the medical term for pain and aching in the lower back,Lumbago
General,Whom did Colin Baker replace as Doctor Who on television,Peter davison,General,Schschpiel is what game in Germany,Chess,Sports & Leisure,In Which Sport Would You Encounter A Bully Off? ,Hockey 
 History & Holidays,Who had a hit with Schools Out in 1972? ,Alice Cooper ,General,What is the lifespan of a turkey that evades the cooking pot,Twelve years,General,Who built a loyal following with the release of 'the pretender' in 1976,Jackson browne
General,"Which Country Now Have A Parliament Called ""The Bee Hive""",New Zealand,General,The lutra-lutra is which semi aquatic animal,Otter,General,What is the flower that stands for: early youth,Primrose
General,What type of birds (Hugin + Munin) sit on the shoulders of Odin,Ravens,General,Tennis: what area falls between the baseline & the service line,Back court, Geography,What is the capital of Angola ?,Luanda
General,Dutchphobia is a fear of ______,Anything dutch,Food & Drink,In What Decade Did Sliced Bread First Appear? ,1930's ,Science & Nature,"If you're in the northern hemisphere, Polaris, the North Star, can be found by looking which direction?",North
General,What is the 100 year old safe in washington dc,Centennial safe,General,The false plane tree is better known as what,The Sycamore,General,"In the 1995 movie, To Wong Foo, Thanks for Everything, Julie Newmar, what were the names of the characters portrayed by Patrick Swayze, Wesley Snipes and John Leguizamo?","Vida Boeheme, Noxema Jackson, and Chi Chi Rodriguez"
People & Places,"What Do Eric Clapton, Marilyn Monroe, And Laarry Grayson All Have In Common ",They All are Or Were Illegitimate ,Music,"Whose Songs Include Night & Day, Begin The Beguine & Just One Of Thoese Things",Cole Porter,Music,"In Which Year Was ""Crying In The Chapel"" A No.1 Hit For Elvis",1965
Tech & Video Games,What does CR-ROM stand for?,Compact Disk Read Only Memory,General,In the Bible who built the ancient city of Babylon,Nimrod,Music,Who Composed The Planet Sweet,Gustav Holst
General,Where is Londons whispering gallery,St pauls cathedral,General,What links Socrates Aristotle Janis Joplin,Bisexuals,General,"What colour is bistre, a pigment used in artist's paints and inks",Brown
Religion & Mythology,Who is the Roman goddess of destiny?,Fortuna,General,What kind of small glass bottle turns liquid perfume into a fine spray,Atomiser,Technology & Video Games,What was the hybrid pinball/video game in the Pac-Man series?                                                                        ,Baby Pac-Man
Geography,What is the largest of the countries in Central America,Nicaragua,Music,For Which Record Company Did The Beatles Record Most Of Their Work,Parlophone,General,The longest tunnel connects delaware and ______,New york
General,Who won the world soccer championship in 1934,Italy,General,"Name the evil slave owner and villain in ""Uncle Tom's Cabin""",. simon legre,Music,"""Sally"" Was A 1970 Hit For Which Male Singer",Gerry Monroe
General,Which film links novelist Ira Levin and Sharon Stone,Sliver,Science & Nature," __________ never walk or trot, but always hop or leap.",Rabbits,General,What instrument are you playing when you perform a rim shot,Drums
General,"What president's hobbies included pitching hay, fishing, and golf?",Calvin coolidge,Food & Drink,Who was the female russian dancer who had a desert named after her? ,Anna pavlova ,General,To which U.S. city would you travel to see the Liberty Bell,Philadelphia
Science & Nature," The only __________ to ever appear in a Shakespearean play was Crab in ""The Two Gentlemen of Verona.""",Dog,General,Capital cities: Western Samoa,Apia,Technology & Video Games,What was launched on the 4th December 1996 ?,Mars Pathfinder
General,Pushin' Too Hard' was the notable song recorded by which group in the 60's,Seeds, Geography,What is the basic unit of currency for Turkmenistan ?,Manat,General,From which musical did the songs 'If my friends could see me now' and 'There's got to be something better than this' come,Sweet charity
General,When Prince Edward Married Sophie Rhys Jones In 1999 What Title Did She Adopt,Countess Of Wessex,General,How is 75% of petrol in an engine wasted,Combustion,General,What team has won the most NBA championships,Boston celtics
General,Who was Britain's second Labour Prime Minister,Clement attlee,General,What does a croque Madame have that a croque monsieur don’t,Egg on top – Cheese Ham Toast,Geography,Which County Is Glastonbury In? ,Somerset 
Music,"Who Was The First Woman To Be Inducted Into The Country Music Hall Of Fame In 1973, 10 Years After Her Death",Patsy Cline,Science & Nature,"The Komodo Dragon, the biggest known lizard to science, is endemic to the Komodo islands of what country?",Indonesia,General,Generation X Was A Band Fronted By Which Famous Rocker,Billy Idol
Sports & Leisure,Which rugby ground is sometimes referred to as the Cabbage Patch? ,Twickenham ,General,Benthos are plants and animals living where,Water,General,Round which planet do the moons Ganymede and Callisto orbit,Jupiter
Food & Drink,"Iceberg, Boston, and Bibb are types of What ",Lettuce ,Technology & Video Games,What object did you need to get to the secret room in Atari's 'Adventure'?                                                           ,The dot,General,Roller coasters originated in what country,Russia - ice on sleds
General,Aaron Copeland wrote a ballet about which American folk hero,Billy the Kid,General,Strabismus is another name for which affliction,Squint,General,What is the Capital of: Martinique,Fort-de-france
General,Which superstar film actor's real narne is T.C. Mapother IV,Tom cruise,General,What was Britain's first colony (annexed in 1583),Newfoundland,General,What is Colombo's first name,Phillip
Geography,In Which English City Will You Find The Crucible Theatre ,Sheffield , Geography,What US state is completely surrounded by the Pacific Ocean?,Hawaii, History & Holidays,Which Mutiny Took Place In 1789? ,Mutiny On The Bounty 
General,"Humans are 10,000 times more sexually active that what animal",Rabbits,General,What did the song '867-5309/jenny' spawn for tommy tutone,Lawsuit,General,What are double sixes called on dice,Boxcars
General,What pop group was originally named 'The Quarrymen',The Beatles,General,How many air force one(s) are there,Two,General,"Where is a nave, apse, atrium and narthex",Basilica
General,Film is to Oscar as Mystery novel is to,Edgar,General,The capital of Romania,Bucuresti,General,What is the Capital of: El Salvador,San salvador
General,Who painted' A Bar at the Folies Bergere' (1882),Edouard manet,General,Name the river that flows through Baghdad,Tigris,General,"If it's 12.00 noon GMT - what time is it in Sydney, Australia?",10.00pm
 Geography,What country was once known as 'The Breadbasket of Russia'?,Ukraine,General,In The World Of Dancing From Which Country Does The Tango Originate ?,Argentina,General,Who is tippi hedren's daughter,Melanie griffith
General,Who was the 2nd president of the U.S.,John adams,General,"Cornbread, Turkey and Sweet potatoes made up the first what",TV Dinner,General,Part of a theatre for the audience,Auditorium
General,Which computer firm made a model numbered ZX80,Sinclair,General,What is the largest cell in a human body,Ovum,General,In which country are condoms most commonly used,Japan
General,What is the Capital of: Wallis and Futuna,Mata-utu,General,Wo Fat was the enemy of which TV detective,Steve MacGarett,Science & Nature,What is the instrument used to measure atmospheric pressure ,Barometer 
General,Egyptian god credited with first making beer,Osiris,General,"If a dog is canine, cat feline what creature is accipitrine",A hawk,Music,"Who Wrote The Theme Tune To The James Bond Movie ""A View To A Kill""",Duran Duran
General,What meets the Atlantic Ocean at the Cape of Good Hope,Indian ocean,Sports & Leisure,What was Evonne Goolagong's married name ,Cawley ,General,What is the formal corporate slogan of Google?,Don't Be Evil
